I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.037,-0.005,-0.073,-0.512,0.043,0.514,0.053,0.004,-0.022,-0.055,-0.066,-0.073
0.037,-0.005,-0.072,-0.5,0.042,0.527,0.053,0.004,-0.019,-0.045,-0.066,-0.072
0.037,-0.005,-0.067,-0.445,0.037,0.579,0.05,0.004,-0.01,0.003,-0.066,-0.07
0.037,-0.005,-0.062,-0.389,0.032,0.632,0.048,0.004,0.0,0.05,-0.066,-0.067
0.035,-0.003,-0.062,-0.3,0.023,0.662,0.042,0.004,0.007,0.15,-0.052,-0.061
0.033,0.0,-0.064,-0.195,0.013,0.682,0.034,0.004,0.012,0.275,-0.032,-0.054
0.031,0.002,-0.066,-0.102,0.004,0.684,0.028,0.004,0.016,0.407,-0.005,-0.042
0.036,0.005,-0.064,-0.087,-0.001,0.581,0.028,0.004,0.014,0.59,0.065,-0.002
0.041,0.007,-0.061,-0.072,-0.006,0.478,0.028,0.004,0.011,0.773,0.135,0.038
0.043,0.007,-0.057,-0.064,-0.006,0.371,0.03,0.004,0.01,0.971,0.244,0.107
0.043,0.004,-0.052,-0.061,-0.001,0.26,0.035,0.004,0.01,1.181,0.379,0.194
0.043,0.002,-0.047,-0.059,0.004,0.154,0.04,0.004,0.01,1.39,0.516,0.283
0.038,0.002,-0.052,-0.064,0.019,0.111,0.04,0.002,0.01,1.55,0.684,0.388
0.033,0.002,-0.057,-0.069,0.034,0.069,0.04,-0.001,0.01,1.711,0.852,0.494
0.031,0.002,-0.061,-0.068,0.045,0.053,0.039,-0.002,0.01,1.805,0.999,0.594
0.034,0.002,-0.063,-0.061,0.05,0.06,0.037,-0.002,0.01,1.825,1.124,0.689
0.036,0.002,-0.066,-0.053,0.055,0.068,0.034,-0.002,0.01,1.845,1.249,0.784
0.037,0.004,-0.064,-0.041,0.064,0.083,0.036,0.003,0.01,1.736,1.282,0.82
0.037,0.007,-0.062,-0.028,0.074,0.098,0.039,0.008,0.01,1.616,1.309,0.853
0.037,0.007,-0.059,-0.019,0.081,0.099,0.041,0.011,0.012,1.293,1.253,0.834
0.037,0.005,-0.054,-0.014,0.081,0.084,0.044,0.011,0.017,0.62,1.075,0.741
0.037,0.002,-0.049,-0.009,0.081,0.069,0.046,0.011,0.022,-0.053,0.897,0.649
0.035,0.0,-0.051,-0.006,0.079,0.045,0.047,0.011,0.025,-0.248,0.652,0.517
0.032,-0.003,-0.056,-0.003,0.076,0.02,0.047,0.011,0.027,-0.336,0.397,0.379
0.03,-0.004,-0.06,0.0,0.075,0.0,0.047,0.011,0.029,-0.399,0.184,0.259
0.027,-0.001,-0.057,0.005,0.075,-0.01,0.047,0.011,0.024,-0.394,0.066,0.179
0.025,0.001,-0.055,0.01,0.075,-0.02,0.047,0.011,0.019,-0.389,-0.051,0.099
0.024,0.002,-0.052,0.013,0.075,-0.032,0.047,0.012,0.017,-0.348,-0.092,0.061
0.024,0.002,-0.05,0.016,0.075,-0.045,0.047,0.015,0.017,-0.293,-0.11,0.036
0.024,0.001,-0.047,0.018,0.075,-0.056,0.047,0.017,0.017,-0.24,-0.118,0.017
0.024,-0.001,-0.052,0.018,0.075,-0.063,0.047,0.014,0.019,-0.2,-0.096,0.02
0.024,-0.004,-0.057,0.018,0.075,-0.071,0.047,0.012,0.022,-0.16,-0.073,0.022
0.024,-0.005,-0.058,0.016,0.079,-0.075,0.047,0.011,0.022,-0.132,-0.057,0.023
0.024,-0.005,-0.053,0.013,0.086,-0.077,0.047,0.011,0.019,-0.112,-0.045,0.023
0.024,-0.004,-0.048,0.011,0.094,-0.079,0.047,0.011,0.017,-0.093,-0.034,0.022
0.022,-0.002,-0.043,0.014,0.091,-0.079,0.044,0.013,0.017,-0.08,-0.031,0.012
0.019,0.001,-0.038,0.016,0.089,-0.079,0.042,0.016,0.017,-0.068,-0.029,0.002
0.016,0.002,-0.033,0.015,0.084,-0.079,0.04,0.017,0.018,-0.059,-0.026,-0.004
0.011,0.002,-0.028,0.01,0.077,-0.079,0.04,0.017,0.02,-0.054,-0.024,-0.006
0.006,0.001,-0.023,0.005,0.069,-0.079,0.04,0.017,0.023,-0.049,-0.021,-0.009
0.003,-0.004,-0.025,0.007,0.066,-0.076,0.043,0.017,0.023,-0.047,-0.021,-0.017
0.0,-0.009,-0.03,0.01,0.063,-0.074,0.045,0.017,0.023,-0.044,-0.021,-0.024
-0.001,-0.012,-0.034,0.011,0.062,-0.076,0.046,0.018,0.023,-0.04,-0.022,-0.029
0.001,-0.015,-0.034,0.011,0.062,-0.081,0.043,0.021,0.023,-0.032,-0.025,-0.032
0.004,-0.017,-0.034,0.011,0.062,-0.085,0.041,0.023,0.023,-0.025,-0.027,-0.034
0.001,-0.015,-0.032,0.014,0.064,-0.085,0.038,0.026,0.021,-0.021,-0.028,-0.03
-0.004,-0.012,-0.027,0.016,0.066,-0.085,0.036,0.028,0.019,-0.019,-0.028,-0.025
-0.008,-0.009,-0.022,0.016,0.068,-0.082,0.034,0.03,0.017,-0.018,-0.026,-0.023
-0.011,-0.004,-0.017,0.011,0.068,-0.074,0.034,0.03,0.019,-0.02,-0.021,-0.025
-0.013,0.001,-0.012,0.005,0.068,-0.067,0.034,0.03,0.022,-0.023,-0.016,-0.028
-0.016,-0.003,-0.007,0.003,0.071,-0.062,0.034,0.03,0.022,-0.022,-0.015,-0.032
-0.018,-0.008,-0.002,0.0,0.076,-0.057,0.034,0.03,0.019,-0.019,-0.015,-0.037
-0.021,-0.011,0.003,-0.001,0.081,-0.053,0.034,0.029,0.017,-0.016,-0.015,-0.041
-0.028,-0.011,0.008,0.002,0.078,-0.05,0.034,0.027,0.012,-0.008,-0.015,-0.041
-0.036,-0.011,0.013,0.004,0.076,-0.048,0.034,0.024,0.007,-0.001,-0.015,-0.041
-0.042,-0.011,0.017,0.003,0.073,-0.047,0.033,0.02,0.004,0.005,-0.013,-0.041
-0.047,-0.011,0.02,0.0,0.071,-0.047,0.03,0.015,0.004,0.01,-0.01,-0.041
-0.052,-0.012,0.022,-0.002,0.068,-0.049,0.028,0.011,0.004,0.015,-0.009,-0.04
-0.055,-0.017,0.025,-0.002,0.071,-0.054,0.03,0.011,0.006,0.015,-0.011,-0.038
-0.057,-0.022,0.027,-0.002,0.073,-0.059,0.033,0.011,0.009,0.015,-0.014,-0.035
-0.061,-0.024,0.03,-0.002,0.072,-0.058,0.034,0.012,0.01,0.016,-0.013,-0.034
-0.069,-0.024,0.035,-0.002,0.067,-0.055,0.034,0.015,0.01,0.019,-0.011,-0.034
-0.076,-0.024,0.04,-0.001,0.062,-0.054,0.034,0.017,0.01,0.021,-0.008,-0.034
-0.084,-0.024,0.045,0.001,0.057,-0.054,0.034,0.017,0.008,0.024,-0.003,-0.034
-0.091,-0.024,0.05,0.004,0.052,-0.054,0.034,0.017,0.006,0.026,0.002,-0.034
-0.098,-0.024,0.055,0.002,0.051,-0.054,0.035,0.016,0.003,0.029,0.001,-0.032
-0.103,-0.024,0.063,-0.003,0.056,-0.054,0.037,0.013,0.001,0.031,-0.004,-0.026
-0.108,-0.024,0.07,-0.008,0.061,-0.054,0.04,0.011,-0.002,0.034,-0.008,-0.022
-0.113,-0.024,0.078,-0.008,0.062,-0.054,0.042,0.011,-0.003,0.041,-0.006,-0.022
-0.118,-0.024,0.085,-0.008,0.062,-0.054,0.045,0.011,-0.003,0.048,-0.003,-0.022
-0.123,-0.025,0.093,-0.008,0.061,-0.049,0.046,0.012,-0.003,0.054,0.002,-0.019
-0.131,-0.028,0.098,-0.008,0.056,-0.041,0.041,0.014,-0.005,0.056,0.009,-0.014
-0.138,-0.03,0.103,-0.008,0.051,-0.034,0.036,0.017,-0.008,0.059,0.017,-0.009
-0.147,-0.03,0.109,-0.013,0.051,-0.029,0.032,0.017,-0.008,0.061,0.019,-0.007
-0.157,-0.03,0.116,-0.018,0.053,-0.024,0.03,0.017,-0.005,0.064,0.022,-0.004
-0.167,-0.03,0.124,-0.021,0.056,-0.023,0.028,0.017,-0.003,0.067,0.022,-0.006
-0.175,-0.03,0.133,-0.021,0.058,-0.026,0.03,0.017,-0.005,0.072,0.02,-0.013
