II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-2.325,0.389,0.0,0.0,0.273,0.0,0.968,0.0,0.556,0.37,0.406
-2.318,0.389,0.0,0.0,0.294,0.0,0.977,0.0,0.565,0.656,0.0
-2.314,0.389,0.0,0.0,0.322,0.0,0.987,0.0,0.571,0.695,0.0
-2.308,0.389,0.0,0.0,0.34,0.0,0.994,0.0,0.577,0.604,0.0
-2.301,0.389,0.0,0.0,0.357,0.0,0.999,2.615,0.585,0.79,0.0
-2.293,0.389,0.0,0.0,0.373,-2.794,0.923,2.614,0.589,0.621,0.0
-2.286,0.389,0.0,0.0,0.382,0.0,0.57,2.613,0.598,0.598,0.0
-2.28,0.389,0.0,0.0,0.39,0.0,0.476,2.613,0.61,0.629,0.0
-2.268,0.389,0.0,0.0,0.395,0.0,0.381,2.609,0.619,0.704,0.4
-2.26,0.389,0.0,0.0,0.399,0.0,0.528,2.608,0.631,0.737,0.0
-2.248,0.389,0.0,0.0,0.403,0.0,0.565,2.608,0.64,0.696,0.0
-2.234,0.389,0.0,0.0,0.406,0.0,0.461,2.602,0.651,0.695,0.0
-2.222,0.389,0.0,-0.146,0.41,0.0,0.461,2.599,0.651,0.782,0.0
-2.212,0.389,0.0,-0.146,0.413,0.0,0.461,2.599,0.651,0.667,0.0
-2.199,0.389,0.0,-0.146,0.415,0.0,0.463,2.598,0.651,0.824,0.0
-2.18,0.389,0.0,-0.146,0.415,0.0,0.594,2.596,0.641,0.808,0.391
-2.165,0.389,0.0,-0.146,0.415,0.0,0.544,2.592,0.629,0.864,0.387
-2.149,0.389,0.0,-0.147,0.415,0.0,0.386,2.591,0.614,0.708,0.391
-2.134,0.389,0.0,-0.148,0.415,0.0,0.326,2.593,0.594,0.786,0.0
-2.119,0.389,0.0,-0.149,0.415,0.0,0.485,2.593,0.575,0.812,0.388
-2.104,0.389,0.0,-0.151,0.417,0.0,0.64,2.593,0.559,0.772,0.398
-2.093,0.389,0.0,-0.152,0.419,0.0,0.497,2.591,0.547,0.719,0.0
-2.085,0.389,0.0,-0.151,0.0,0.0,0.464,2.59,0.535,0.555,0.406
-2.078,0.389,0.0,-0.15,0.0,0.0,0.369,2.591,0.525,0.587,0.4
-2.074,0.389,-4.4,-0.149,0.0,0.0,0.283,2.592,0.514,0.426,0.384
-2.074,0.389,-4.482,-0.147,0.0,0.0,0.326,2.594,0.52,0.418,0.376
-2.076,0.389,-4.571,0.0,0.421,0.0,0.452,2.596,0.517,0.424,0.0
-2.086,0.389,-4.584,0.0,0.421,0.0,0.294,2.599,0.517,0.44,0.0
-2.101,0.389,-4.59,0.0,0.421,0.0,0.284,2.602,0.517,0.257,0.0
-2.11,0.389,-4.583,0.0,0.421,0.0,0.288,2.606,0.517,0.384,0.387
-2.122,0.389,-4.376,0.0,0.421,0.0,0.467,2.61,0.517,0.634,0.0
-2.145,0.389,0.0,0.0,0.421,0.0,0.558,2.613,0.517,0.94,0.0
-2.167,0.389,0.0,0.0,0.422,0.0,0.354,2.615,0.521,0.94,0.0
-2.19,0.389,0.0,0.0,0.424,0.0,0.283,2.617,0.523,0.945,0.0
-2.22,0.389,0.0,0.0,0.424,0.0,-0.02,2.618,0.523,0.617,0.387
-2.248,0.389,0.0,0.0,0.425,0.0,0.211,2.621,0.526,0.528,0.0
-2.274,0.389,0.0,0.0,0.427,0.0,0.305,2.625,0.0,0.582,0.0
-2.3,0.389,0.0,0.0,0.427,0.0,0.308,2.628,0.0,0.585,0.0
-2.325,0.389,0.0,0.0,0.425,0.0,0.311,2.631,0.0,0.398,0.395
-2.342,0.389,0.0,0.0,0.424,0.0,0.325,2.633,0.0,0.398,0.406
-2.355,0.389,0.0,0.0,0.422,0.0,0.389,2.635,0.0,0.429,0.418
-2.37,0.389,0.0,0.0,0.421,0.0,0.392,2.637,0.0,0.854,0.0
-2.386,0.389,0.0,0.0,0.421,0.0,0.349,2.642,0.0,0.951,0.0
-2.396,0.389,0.0,0.0,0.424,0.0,0.335,2.645,0.0,0.461,0.0
-2.404,0.389,0.0,0.0,0.427,0.0,0.37,2.645,0.0,0.645,2.161
-2.41,0.389,0.0,0.0,0.427,0.0,0.441,2.645,0.0,0.948,2.308
-2.415,0.389,0.0,0.0,0.427,0.0,0.53,2.645,0.0,0.947,2.22
-2.419,0.389,0.0,0.0,0.427,0.0,0.619,2.645,0.0,0.943,0.0
-2.422,0.389,0.0,0.0,0.427,0.0,0.415,2.645,0.0,0.943,0.0
-2.425,0.389,0.0,0.0,0.427,0.0,0.323,2.645,0.0,0.943,0.338
-2.43,0.389,0.0,0.0,0.427,0.0,0.182,2.645,0.0,0.943,0.379
-2.428,0.389,0.0,0.0,0.429,0.0,0.083,2.645,0.0,0.941,0.395
-2.425,0.389,0.0,0.0,0.431,0.0,0.096,2.645,0.0,0.929,0.407
-2.424,0.389,0.0,0.0,0.432,0.0,0.109,2.645,0.0,0.57,0.417
-2.426,0.389,0.0,0.0,0.432,0.0,0.121,2.645,0.0,0.57,0.0
-2.426,0.389,-3.886,0.0,0.434,0.0,0.131,2.645,0.0,0.566,0.0
-2.423,0.389,0.0,0.0,0.438,0.0,0.14,2.647,0.0,0.0,0.427
-2.419,0.389,0.0,0.0,0.438,0.0,0.146,2.65,0.0,0.0,0.0
-2.419,0.389,0.0,0.0,0.437,0.0,0.149,2.649,0.0,0.736,0.0
-2.419,0.389,0.0,0.0,0.435,0.0,0.154,2.647,0.0,0.913,0.0
-2.419,0.389,0.0,0.0,0.432,0.0,0.158,2.645,0.0,0.379,0.0
-2.415,0.389,0.0,0.0,0.43,0.0,0.154,2.645,0.0,0.378,0.0
-2.411,0.389,0.0,0.0,0.432,0.0,0.147,2.645,0.0,0.38,0.0
-2.409,0.389,0.0,0.0,0.435,0.0,0.138,2.645,0.0,0.931,0.0
-2.406,0.389,0.0,0.0,0.438,0.0,0.125,0.0,0.0,0.929,0.0
-2.404,0.389,0.0,0.0,0.438,0.0,0.109,0.0,0.0,0.926,0.0
-2.402,0.389,0.0,0.0,0.438,0.0,0.09,0.0,0.0,0.926,0.0
-2.407,0.389,0.0,0.0,0.0,0.0,0.073,2.642,0.0,0.93,0.0
-2.412,0.389,0.0,0.0,0.0,0.0,0.054,2.642,0.0,0.926,0.0
-2.409,0.389,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.928,0.0
-2.407,0.389,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.932,0.0
