I,II,III,aVR,aVF,aVL,V1,V2,V3,V4,V5,V6
-0.155,0.01,0.15,0.07,0.075,-0.14,0.04,0.04,0.01,0.04,0.08,0.02
-0.17,0.01,0.165,0.075,0.085,-0.16,0.055,0.055,0.02,0.03,0.08,0.02
-0.17,0.0,0.155,0.08,0.075,-0.155,0.06,0.055,0.03,0.025,0.08,0.01
-0.17,0.0,0.155,0.08,0.075,-0.155,0.055,0.055,0.03,0.02,0.08,0.01
-0.17,0.0,0.155,0.08,0.075,-0.155,0.05,0.055,0.03,0.02,0.08,0.01
-0.17,0.0,0.155,0.08,0.075,-0.155,0.05,0.06,0.03,0.025,0.08,0.02
-0.17,0.0,0.155,0.08,0.075,-0.155,0.05,0.06,0.03,0.025,0.08,0.02
-0.165,0.0,0.15,0.08,0.07,-0.15,0.055,0.055,0.03,0.025,0.08,0.02
-0.165,0.0,0.15,0.08,0.07,-0.15,0.055,0.055,0.03,0.025,0.08,0.02
-0.155,-0.005,0.135,0.075,0.06,-0.135,0.06,0.055,0.035,0.025,0.08,0.02
-0.165,-0.01,0.14,0.085,0.06,-0.14,0.06,0.06,0.04,0.03,0.08,0.025
-0.165,-0.01,0.14,0.085,0.06,-0.14,0.06,0.055,0.05,0.03,0.08,0.03
-0.17,-0.01,0.14,0.085,0.065,-0.15,0.06,0.06,0.04,0.04,0.075,0.03
-0.165,-0.005,0.14,0.08,0.065,-0.14,0.06,0.06,0.035,0.03,0.07,0.025
-0.165,-0.005,0.14,0.08,0.065,-0.14,0.06,0.07,0.03,0.03,0.07,0.025
-0.165,0.0,0.15,0.08,0.07,-0.15,0.06,0.06,0.03,0.03,0.07,0.03
-0.165,0.0,0.15,0.08,0.07,-0.15,0.055,0.06,0.03,0.04,0.07,0.03
-0.165,0.01,0.16,0.075,0.08,-0.155,0.05,0.06,0.03,0.04,0.06,0.025
-0.165,0.01,0.16,0.075,0.08,-0.155,0.04,0.06,0.035,0.04,0.07,0.02
-0.165,0.0,0.15,0.08,0.07,-0.15,0.04,0.06,0.035,0.04,0.07,0.02
-0.165,-0.005,0.14,0.08,0.065,-0.14,0.05,0.07,0.035,0.04,0.07,0.02
-0.155,-0.005,0.135,0.075,0.06,-0.135,0.05,0.07,0.02,0.03,0.06,0.02
-0.155,0.0,0.14,0.075,0.065,-0.14,0.05,0.07,0.02,0.03,0.06,0.02
-0.165,0.01,0.16,0.075,0.08,-0.155,0.04,0.06,0.02,0.03,0.06,0.02
-0.17,0.0,0.155,0.08,0.075,-0.155,0.04,0.06,0.03,0.04,0.06,0.02
-0.17,-0.005,0.15,0.085,0.07,-0.15,0.05,0.06,0.03,0.045,0.06,0.02
-0.165,-0.01,0.14,0.085,0.06,-0.14,0.055,0.06,0.03,0.045,0.06,0.02
-0.155,-0.01,0.13,0.08,0.055,-0.135,0.06,0.06,0.03,0.04,0.06,0.01
-0.155,-0.01,0.13,0.08,0.055,-0.135,0.06,0.06,0.03,0.025,0.055,0.01
-0.165,-0.01,0.14,0.085,0.06,-0.14,0.055,0.055,0.03,0.025,0.055,0.02
-0.165,-0.005,0.14,0.08,0.065,-0.14,0.05,0.05,0.03,0.025,0.05,0.02
-0.165,-0.005,0.14,0.08,0.065,-0.14,0.04,0.05,0.03,0.03,0.05,0.01
-0.155,0.0,0.14,0.075,0.065,-0.14,0.05,0.05,0.02,0.025,0.04,0.0
-0.155,0.0,0.14,0.075,0.065,-0.14,0.05,0.055,0.015,0.03,0.04,0.005
-0.15,0.01,0.14,0.065,0.075,-0.14,0.05,0.05,0.01,0.025,0.04,0.02
-0.15,0.0,0.135,0.07,0.065,-0.135,0.04,0.055,0.01,0.025,0.05,0.025
-0.15,-0.005,0.13,0.075,0.06,-0.13,0.04,0.055,0.015,0.025,0.05,0.025
-0.15,-0.005,0.13,0.075,0.06,-0.13,0.05,0.06,0.02,0.025,0.05,0.025
-0.15,-0.005,0.13,0.075,0.06,-0.13,0.055,0.055,0.02,0.025,0.03,0.025
-0.15,-0.005,0.13,0.075,0.06,-0.13,0.055,0.05,0.015,0.02,0.025,0.025
-0.155,-0.01,0.13,0.08,0.055,-0.135,0.05,0.04,0.01,0.02,0.025,0.02
-0.155,-0.01,0.13,0.08,0.055,-0.135,0.04,0.05,0.01,0.025,0.025,0.02
-0.155,-0.01,0.13,0.08,0.055,-0.135,0.04,0.055,0.01,0.025,0.025,0.02
-0.155,-0.01,0.13,0.08,0.055,-0.135,0.05,0.06,0.01,0.03,0.025,0.02
-0.155,-0.01,0.13,0.08,0.055,-0.135,0.05,0.055,0.01,0.025,0.025,0.01
-0.15,-0.01,0.125,0.075,0.055,-0.13,0.05,0.05,0.0,0.025,0.025,0.01
-0.14,-0.01,0.12,0.075,0.05,-0.125,0.04,0.035,-0.005,0.01,0.02,0.01
-0.135,-0.01,0.11,0.07,0.045,-0.115,0.04,0.035,-0.01,0.01,0.02,0.02
-0.14,-0.005,0.125,0.07,0.055,-0.125,0.04,0.03,-0.01,0.005,0.02,0.02
-0.14,-0.005,0.125,0.07,0.055,-0.125,0.04,0.03,-0.01,0.005,0.01,0.02
-0.15,-0.01,0.125,0.075,0.055,-0.13,0.04,0.03,-0.005,0.005,0.01,0.02
-0.14,-0.025,0.105,0.08,0.035,-0.115,0.04,0.03,-0.005,0.01,0.005,0.02
-0.14,-0.03,0.1,0.085,0.03,-0.115,0.04,0.03,-0.005,0.02,0.005,0.01
-0.135,-0.025,0.095,0.075,0.03,-0.105,0.04,0.03,-0.01,0.02,0.005,0.005
-0.135,-0.02,0.1,0.075,0.035,-0.11,0.035,0.03,-0.01,0.01,0.005,0.005
-0.135,-0.01,0.11,0.07,0.045,-0.115,0.035,0.03,-0.01,0.005,0.005,0.005
-0.135,-0.01,0.11,0.07,0.045,-0.115,0.035,0.02,-0.02,0.0,0.0,0.01
-0.135,-0.01,0.11,0.07,0.045,-0.115,0.04,0.02,-0.02,0.0,0.0,0.01
-0.14,-0.01,0.12,0.075,0.05,-0.125,0.04,0.02,-0.02,0.0,0.0,0.02
-0.14,-0.01,0.12,0.075,0.05,-0.125,0.035,0.02,-0.01,0.0,0.0,0.02
-0.14,-0.02,0.11,0.08,0.04,-0.12,0.035,0.02,-0.01,0.0,0.005,0.02
-0.135,-0.02,0.1,0.075,0.035,-0.11,0.03,0.02,-0.02,0.0,0.005,0.01
-0.14,-0.025,0.105,0.08,0.035,-0.115,0.035,0.02,-0.025,0.0,0.005,0.005
-0.14,-0.025,0.105,0.08,0.035,-0.115,0.03,0.02,-0.03,0.0,0.0,0.0
-0.14,-0.03,0.1,0.085,0.03,-0.115,0.035,0.02,-0.03,0.0,0.005,0.0
-0.135,-0.03,0.09,0.08,0.025,-0.105,0.03,0.02,-0.03,0.0,0.005,0.0
-0.135,-0.03,0.09,0.08,0.025,-0.105,0.03,0.02,-0.03,0.005,0.005,0.005
-0.135,-0.03,0.09,0.08,0.025,-0.105,0.02,0.02,-0.025,0.005,0.0,0.005
-0.14,-0.03,0.1,0.085,0.03,-0.115,0.03,0.02,-0.025,0.005,0.0,0.01
